ファイル名,内容
pol_p0.png,資本主義を信奉する架空の政治家「仲田角兵衛」の胸像ポートレート。金貨と高層ビルと山高帽の資本家、黄金色の雰囲気。昭和初期〜1920年代の政治ポスター/レトロ木版画風のイラスト。力強くドラマチック、2〜3色の限定パレット、主題を中央に大きく1つだけ配置。文字・ロゴ・枠・キャプションは一切入れない。正方形構図。
pol_p1.png,資本主義を信奉する架空の政治家「岸　紳助」の胸像ポートレート。金貨と高層ビルと山高帽の資本家、黄金色の雰囲気。昭和初期〜1920年代の政治ポスター/レトロ木版画風のイラスト。力強くドラマチック、2〜3色の限定パレット、主題を中央に大きく1つだけ配置。文字・ロゴ・枠・キャプションは一切入れない。正方形構図。
pol_p2.png,資本主義を信奉する架空の政治家「佐藤丁作」の胸像ポートレート。金貨と高層ビルと山高帽の資本家、黄金色の雰囲気。昭和初期〜1920年代の政治ポスター/レトロ木版画風のイラスト。力強くドラマチック、2〜3色の限定パレット、主題を中央に大きく1つだけ配置。文字・ロゴ・枠・キャプションは一切入れない。正方形構図。
pol_p3.png,資本主義を信奉する架空の政治家「渋沢　英治」の胸像ポートレート。金貨と高層ビルと山高帽の資本家、黄金色の雰囲気。昭和初期〜1920年代の政治ポスター/レトロ木版画風のイラスト。力強くドラマチック、2〜3色の限定パレット、主題を中央に大きく1つだけ配置。文字・ロゴ・枠・キャプションは一切入れない。正方形構図。
pol_p4.png,資本主義を信奉する架空の政治家「村田　茂」の胸像ポートレート。金貨と高層ビルと山高帽の資本家、黄金色の雰囲気。昭和初期〜1920年代の政治ポスター/レトロ木版画風のイラスト。力強くドラマチック、2〜3色の限定パレット、主題を中央に大きく1つだけ配置。文字・ロゴ・枠・キャプションは一切入れない。正方形構図。
pol_p5.png,資本主義を信奉する架空の政治家「今泉　純一郎」の胸像ポートレート。金貨と高層ビルと山高帽の資本家、黄金色の雰囲気。昭和初期〜1920年代の政治ポスター/レトロ木版画風のイラスト。力強くドラマチック、2〜3色の限定パレット、主題を中央に大きく1つだけ配置。文字・ロゴ・枠・キャプションは一切入れない。正方形構図。
pol_p6.png,資本主義を信奉する架空の政治家「永津根　康弘」の胸像ポートレート。金貨と高層ビルと山高帽の資本家、黄金色の雰囲気。昭和初期〜1920年代の政治ポスター/レトロ木版画風のイラスト。力強くドラマチック、2〜3色の限定パレット、主題を中央に大きく1つだけ配置。文字・ロゴ・枠・キャプションは一切入れない。正方形構図。
pol_p7.png,資本主義を信奉する架空の政治家「石渡　湛山」の胸像ポートレート。金貨と高層ビルと山高帽の資本家、黄金色の雰囲気。昭和初期〜1920年代の政治ポスター/レトロ木版画風のイラスト。力強くドラマチック、2〜3色の限定パレット、主題を中央に大きく1つだけ配置。文字・ロゴ・枠・キャプションは一切入れない。正方形構図。
pol_p8.png,資本主義を信奉する架空の政治家「生原　喜重郎」の胸像ポートレート。金貨と高層ビルと山高帽の資本家、黄金色の雰囲気。昭和初期〜1920年代の政治ポスター/レトロ木版画風のイラスト。力強くドラマチック、2〜3色の限定パレット、主題を中央に大きく1つだけ配置。文字・ロゴ・枠・キャプションは一切入れない。正方形構図。
pol_p9.png,資本主義を信奉する架空の政治家「棚橋　是清」の胸像ポートレート。金貨と高層ビルと山高帽の資本家、黄金色の雰囲気。昭和初期〜1920年代の政治ポスター/レトロ木版画風のイラスト。力強くドラマチック、2〜3色の限定パレット、主題を中央に大きく1つだけ配置。文字・ロゴ・枠・キャプションは一切入れない。正方形構図。
