ファイル名,内容
chance_c0.png,「不信任決議」を表すイラスト。このカードを使うと直ちに首班指名選挙が行われる。昭和初期〜1920年代の政治ポスター/レトロ木版画風のイラスト。力強くドラマチック、2〜3色の限定パレット、主題を中央に大きく1つだけ配置。文字・ロゴ・枠・キャプションは一切入れない。正方形構図。
chance_c1.png,「襲撃」を表すイラスト。次のターン対象のプレーヤーは行動不能となる。昭和初期〜1920年代の政治ポスター/レトロ木版画風のイラスト。力強くドラマチック、2〜3色の限定パレット、主題を中央に大きく1つだけ配置。文字・ロゴ・枠・キャプションは一切入れない。正方形構図。
chance_c2.png,「行財政改革」を表すイラスト。使用者の信用を＋３する。昭和初期〜1920年代の政治ポスター/レトロ木版画風のイラスト。力強くドラマチック、2〜3色の限定パレット、主題を中央に大きく1つだけ配置。文字・ロゴ・枠・キャプションは一切入れない。正方形構図。
chance_c3.png,「恩赦」を表すイラスト。捨て山にある政治家を任意に選んで一枚政党に加える事ができる。。昭和初期〜1920年代の政治ポスター/レトロ木版画風のイラスト。力強くドラマチック、2〜3色の限定パレット、主題を中央に大きく1つだけ配置。文字・ロゴ・枠・キャプションは一切入れない。正方形構図。
chance_c4.png,「スキャンダル」を表すイラスト。対象のプレーヤーの政治家一枚を捨て山に送る。昭和初期〜1920年代の政治ポスター/レトロ木版画風のイラスト。力強くドラマチック、2〜3色の限定パレット、主題を中央に大きく1つだけ配置。文字・ロゴ・枠・キャプションは一切入れない。正方形構図。
chance_c5.png,「包囲網」を表すイラスト。一番大きな影響力を有するプレーヤーはチャンスカードを全て捨てる。。昭和初期〜1920年代の政治ポスター/レトロ木版画風のイラスト。力強くドラマチック、2〜3色の限定パレット、主題を中央に大きく1つだけ配置。文字・ロゴ・枠・キャプションは一切入れない。正方形構図。
chance_c6.png,「連合」を表すイラスト。このカードをプレイしたプレーヤーはその他の一人のプレーヤーを選択する。選択されたプレーヤーは、渡欧表をこのカードのプレーヤーと同じくする。。昭和初期〜1920年代の政治ポスター/レトロ木版画風のイラスト。力強くドラマチック、2〜3色の限定パレット、主題を中央に大きく1つだけ配置。文字・ロゴ・枠・キャプションは一切入れない。正方形構図。
chance_c7.png,「牛歩戦術」を表すイラスト。各プレーヤーは次の首班指名選挙まで１しか進めない。。昭和初期〜1920年代の政治ポスター/レトロ木版画風のイラスト。力強くドラマチック、2〜3色の限定パレット、主題を中央に大きく1つだけ配置。文字・ロゴ・枠・キャプションは一切入れない。正方形構図。
chance_c8.png,「静観」を表すイラスト。このカードは、サイコロを振る前にしようしなければならない。プレイしたプレーヤーは、このターン行動不能になる代わりに、このターンチャンスカード及びインシデントカードの効果対象にならない。。昭和初期〜1920年代の政治ポスター/レトロ木版画風のイラスト。力強くドラマチック、2〜3色の限定パレット、主題を中央に大きく1つだけ配置。文字・ロゴ・枠・キャプションは一切入れない。正方形構図。
chance_c9.png,「転向」を表すイラスト。対象のプレーヤーの政治家一枚を獲得することができる。対象のプレーヤーは山札から３枚政治家カードを引きそのうち１枚を手札に加える。。昭和初期〜1920年代の政治ポスター/レトロ木版画風のイラスト。力強くドラマチック、2〜3色の限定パレット、主題を中央に大きく1つだけ配置。文字・ロゴ・枠・キャプションは一切入れない。正方形構図。
chance_c10.png,「政治献金」を表すイラスト。チャンスカードを１枚得る。。昭和初期〜1920年代の政治ポスター/レトロ木版画風のイラスト。力強くドラマチック、2〜3色の限定パレット、主題を中央に大きく1つだけ配置。文字・ロゴ・枠・キャプションは一切入れない。正方形構図。
chance_c11.png,「名演説」を表すイラスト。法案・政策カードを一枚引く。昭和初期〜1920年代の政治ポスター/レトロ木版画風のイラスト。力強くドラマチック、2〜3色の限定パレット、主題を中央に大きく1つだけ配置。文字・ロゴ・枠・キャプションは一切入れない。正方形構図。
chance_c12.png,「機関紙発行」を表すイラスト。政治家カードを2枚ひき手持ちに加えてもよい。昭和初期〜1920年代の政治ポスター/レトロ木版画風のイラスト。力強くドラマチック、2〜3色の限定パレット、主題を中央に大きく1つだけ配置。文字・ロゴ・枠・キャプションは一切入れない。正方形構図。
chance_c13.png,「一日天下」を表すイラスト。次のターン、首班として行動する事ができる。昭和初期〜1920年代の政治ポスター/レトロ木版画風のイラスト。力強くドラマチック、2〜3色の限定パレット、主題を中央に大きく1つだけ配置。文字・ロゴ・枠・キャプションは一切入れない。正方形構図。
