ファイル名,内容
law_l0.png,「新世代兵器の開発」を表すイラスト。新世代兵器の開発。昭和初期〜1920年代の政治ポスター/レトロ木版画風のイラスト。力強くドラマチック、2〜3色の限定パレット、主題を中央に大きく1つだけ配置。文字・ロゴ・枠・キャプションは一切入れない。正方形構図。
law_l1.png,「バイオエコロジー技術の開発」を表すイラスト。バイオエコロジー技術の開発。昭和初期〜1920年代の政治ポスター/レトロ木版画風のイラスト。力強くドラマチック、2〜3色の限定パレット、主題を中央に大きく1つだけ配置。文字・ロゴ・枠・キャプションは一切入れない。正方形構図。
law_l2.png,「家電リサイクル法」を表すイラスト。家電リサイクル法。昭和初期〜1920年代の政治ポスター/レトロ木版画風のイラスト。力強くドラマチック、2〜3色の限定パレット、主題を中央に大きく1つだけ配置。文字・ロゴ・枠・キャプションは一切入れない。正方形構図。
law_l3.png,「ユートピアの建設」を表すイラスト。ユートピアの建設。昭和初期〜1920年代の政治ポスター/レトロ木版画風のイラスト。力強くドラマチック、2〜3色の限定パレット、主題を中央に大きく1つだけ配置。文字・ロゴ・枠・キャプションは一切入れない。正方形構図。
law_l4.png,「科学的管理法の導入」を表すイラスト。科学的管理法の導入。昭和初期〜1920年代の政治ポスター/レトロ木版画風のイラスト。力強くドラマチック、2〜3色の限定パレット、主題を中央に大きく1つだけ配置。文字・ロゴ・枠・キャプションは一切入れない。正方形構図。
law_l5.png,「公職追放」を表すイラスト。共産主義の影響力が一番大きいプレーヤーは、法案を提出する事ができない。昭和初期〜1920年代の政治ポスター/レトロ木版画風のイラスト。力強くドラマチック、2〜3色の限定パレット、主題を中央に大きく1つだけ配置。文字・ロゴ・枠・キャプションは一切入れない。正方形構図。
law_l6.png,「2大政党制」を表すイラスト。投票は影響力が一番多いプレーヤー、2番目に多いプレーヤーしかできなくなる。昭和初期〜1920年代の政治ポスター/レトロ木版画風のイラスト。力強くドラマチック、2〜3色の限定パレット、主題を中央に大きく1つだけ配置。文字・ロゴ・枠・キャプションは一切入れない。正方形構図。
law_l7.png,「赤軍の設立」を表すイラスト。政治家獲得マスで、首班だけ3枚引き、他は2枚引く。昭和初期〜1920年代の政治ポスター/レトロ木版画風のイラスト。力強くドラマチック、2〜3色の限定パレット、主題を中央に大きく1つだけ配置。文字・ロゴ・枠・キャプションは一切入れない。正方形構図。
law_l8.png,「独占禁止法」を表すイラスト。チャンスカードを1枚までしか持てなくなる。昭和初期〜1920年代の政治ポスター/レトロ木版画風のイラスト。力強くドラマチック、2〜3色の限定パレット、主題を中央に大きく1つだけ配置。文字・ロゴ・枠・キャプションは一切入れない。正方形構図。
law_l9.png,「官僚制国家」を表すイラスト。首班指名されているプレーヤーは、チャンスカードを引く際2枚引く。昭和初期〜1920年代の政治ポスター/レトロ木版画風のイラスト。力強くドラマチック、2〜3色の限定パレット、主題を中央に大きく1つだけ配置。文字・ロゴ・枠・キャプションは一切入れない。正方形構図。
law_l10.png,「中央情報局」を表すイラスト。中央情報局。昭和初期〜1920年代の政治ポスター/レトロ木版画風のイラスト。力強くドラマチック、2〜3色の限定パレット、主題を中央に大きく1つだけ配置。文字・ロゴ・枠・キャプションは一切入れない。正方形構図。
law_l11.png,「累進課税」を表すイラスト。累進課税。昭和初期〜1920年代の政治ポスター/レトロ木版画風のイラスト。力強くドラマチック、2〜3色の限定パレット、主題を中央に大きく1つだけ配置。文字・ロゴ・枠・キャプションは一切入れない。正方形構図。
law_l12.png,「統制経済」を表すイラスト。統制経済。昭和初期〜1920年代の政治ポスター/レトロ木版画風のイラスト。力強くドラマチック、2〜3色の限定パレット、主題を中央に大きく1つだけ配置。文字・ロゴ・枠・キャプションは一切入れない。正方形構図。
law_l13.png,「治安維持法」を表すイラスト。治安維持法。昭和初期〜1920年代の政治ポスター/レトロ木版画風のイラスト。力強くドラマチック、2〜3色の限定パレット、主題を中央に大きく1つだけ配置。文字・ロゴ・枠・キャプションは一切入れない。正方形構図。
law_l14.png,「体制翼賛選挙」を表すイラスト。体制翼賛選挙。昭和初期〜1920年代の政治ポスター/レトロ木版画風のイラスト。力強くドラマチック、2〜3色の限定パレット、主題を中央に大きく1つだけ配置。文字・ロゴ・枠・キャプションは一切入れない。正方形構図。
law_l15.png,「検閲」を表すイラスト。検閲。昭和初期〜1920年代の政治ポスター/レトロ木版画風のイラスト。力強くドラマチック、2〜3色の限定パレット、主題を中央に大きく1つだけ配置。文字・ロゴ・枠・キャプションは一切入れない。正方形構図。
law_l16.png,「軍産複合体」を表すイラスト。軍産複合体。昭和初期〜1920年代の政治ポスター/レトロ木版画風のイラスト。力強くドラマチック、2〜3色の限定パレット、主題を中央に大きく1つだけ配置。文字・ロゴ・枠・キャプションは一切入れない。正方形構図。
law_l17.png,「高速道路建設」を表すイラスト。高速道路建設。昭和初期〜1920年代の政治ポスター/レトロ木版画風のイラスト。力強くドラマチック、2〜3色の限定パレット、主題を中央に大きく1つだけ配置。文字・ロゴ・枠・キャプションは一切入れない。正方形構図。
law_l18.png,「高速鉄道計画」を表すイラスト。高速鉄道計画。昭和初期〜1920年代の政治ポスター/レトロ木版画風のイラスト。力強くドラマチック、2〜3色の限定パレット、主題を中央に大きく1つだけ配置。文字・ロゴ・枠・キャプションは一切入れない。正方形構図。
law_l19.png,「文民統制」を表すイラスト。この法律が成立している限り、軍国主義の政治家は首相になれない。昭和初期〜1920年代の政治ポスター/レトロ木版画風のイラスト。力強くドラマチック、2〜3色の限定パレット、主題を中央に大きく1つだけ配置。文字・ロゴ・枠・キャプションは一切入れない。正方形構図。
