ファイル名,内容
incident_i0.png,「ゴールドラッシュ」を表すイラスト。各プレーヤーともチャンスカードを２枚引く。昭和初期〜1920年代の政治ポスター/レトロ木版画風のイラスト。力強くドラマチック、2〜3色の限定パレット、主題を中央に大きく1つだけ配置。文字・ロゴ・枠・キャプションは一切入れない。正方形構図。
incident_i1.png,「万国博覧会」を表すイラスト。各プレーヤーともチャンスカードを1枚引く。昭和初期〜1920年代の政治ポスター/レトロ木版画風のイラスト。力強くドラマチック、2〜3色の限定パレット、主題を中央に大きく1つだけ配置。文字・ロゴ・枠・キャプションは一切入れない。正方形構図。
incident_i2.png,「大恐慌」を表すイラスト。チャンスカードを半分捨てる。昭和初期〜1920年代の政治ポスター/レトロ木版画風のイラスト。力強くドラマチック、2〜3色の限定パレット、主題を中央に大きく1つだけ配置。文字・ロゴ・枠・キャプションは一切入れない。正方形構図。
incident_i3.png,「世界大戦」を表すイラスト。全てのプレーヤーはチャンスカードを全て捨てる。現首班は下野し、合計影響力が一番小さいプレーヤーが首班に指名される。。昭和初期〜1920年代の政治ポスター/レトロ木版画風のイラスト。力強くドラマチック、2〜3色の限定パレット、主題を中央に大きく1つだけ配置。文字・ロゴ・枠・キャプションは一切入れない。正方形構図。
incident_i4.png,「大震災」を表すイラスト。全てのプレーヤーはチャンスカードを全て失う。。昭和初期〜1920年代の政治ポスター/レトロ木版画風のイラスト。力強くドラマチック、2〜3色の限定パレット、主題を中央に大きく1つだけ配置。文字・ロゴ・枠・キャプションは一切入れない。正方形構図。
incident_i5.png,「大干ばつ」を表すイラスト。大干ばつ。昭和初期〜1920年代の政治ポスター/レトロ木版画風のイラスト。力強くドラマチック、2〜3色の限定パレット、主題を中央に大きく1つだけ配置。文字・ロゴ・枠・キャプションは一切入れない。正方形構図。
incident_i6.png,「豊作」を表すイラスト。豊作。昭和初期〜1920年代の政治ポスター/レトロ木版画風のイラスト。力強くドラマチック、2〜3色の限定パレット、主題を中央に大きく1つだけ配置。文字・ロゴ・枠・キャプションは一切入れない。正方形構図。
incident_i7.png,「内戦」を表すイラスト。各プレーヤーともチャンスカードを一枚捨てる。もう一枚インシデントカードを引く。。昭和初期〜1920年代の政治ポスター/レトロ木版画風のイラスト。力強くドラマチック、2〜3色の限定パレット、主題を中央に大きく1つだけ配置。文字・ロゴ・枠・キャプションは一切入れない。正方形構図。
incident_i8.png,「流行」を表すイラスト。影響力が一番大きいプレーヤーは1枚チャンスカードを引く。。昭和初期〜1920年代の政治ポスター/レトロ木版画風のイラスト。力強くドラマチック、2〜3色の限定パレット、主題を中央に大きく1つだけ配置。文字・ロゴ・枠・キャプションは一切入れない。正方形構図。
incident_i9.png,「大津波」を表すイラスト。大津波。昭和初期〜1920年代の政治ポスター/レトロ木版画風のイラスト。力強くドラマチック、2〜3色の限定パレット、主題を中央に大きく1つだけ配置。文字・ロゴ・枠・キャプションは一切入れない。正方形構図。
incident_i10.png,「ゼネラルストライキ」を表すイラスト。ゼネラルストライキ。昭和初期〜1920年代の政治ポスター/レトロ木版画風のイラスト。力強くドラマチック、2〜3色の限定パレット、主題を中央に大きく1つだけ配置。文字・ロゴ・枠・キャプションは一切入れない。正方形構図。
incident_i11.png,「情報化社会」を表すイラスト。情報化社会。昭和初期〜1920年代の政治ポスター/レトロ木版画風のイラスト。力強くドラマチック、2〜3色の限定パレット、主題を中央に大きく1つだけ配置。文字・ロゴ・枠・キャプションは一切入れない。正方形構図。
incident_i12.png,「大社交界」を表すイラスト。大社交界。昭和初期〜1920年代の政治ポスター/レトロ木版画風のイラスト。力強くドラマチック、2〜3色の限定パレット、主題を中央に大きく1つだけ配置。文字・ロゴ・枠・キャプションは一切入れない。正方形構図。
incident_i13.png,「外圧」を表すイラスト。外圧。昭和初期〜1920年代の政治ポスター/レトロ木版画風のイラスト。力強くドラマチック、2〜3色の限定パレット、主題を中央に大きく1つだけ配置。文字・ロゴ・枠・キャプションは一切入れない。正方形構図。
incident_i14.png,「化学の世紀」を表すイラスト。化学の世紀。昭和初期〜1920年代の政治ポスター/レトロ木版画風のイラスト。力強くドラマチック、2〜3色の限定パレット、主題を中央に大きく1つだけ配置。文字・ロゴ・枠・キャプションは一切入れない。正方形構図。
incident_i15.png,「電力網の発展」を表すイラスト。電力網の発展。昭和初期〜1920年代の政治ポスター/レトロ木版画風のイラスト。力強くドラマチック、2〜3色の限定パレット、主題を中央に大きく1つだけ配置。文字・ロゴ・枠・キャプションは一切入れない。正方形構図。
incident_i16.png,「テロリズム」を表すイラスト。テロリズム。昭和初期〜1920年代の政治ポスター/レトロ木版画風のイラスト。力強くドラマチック、2〜3色の限定パレット、主題を中央に大きく1つだけ配置。文字・ロゴ・枠・キャプションは一切入れない。正方形構図。
incident_i17.png,「世代交代」を表すイラスト。世代交代。昭和初期〜1920年代の政治ポスター/レトロ木版画風のイラスト。力強くドラマチック、2〜3色の限定パレット、主題を中央に大きく1つだけ配置。文字・ロゴ・枠・キャプションは一切入れない。正方形構図。
incident_i18.png,「クーデター」を表すイラスト。クーデター。昭和初期〜1920年代の政治ポスター/レトロ木版画風のイラスト。力強くドラマチック、2〜3色の限定パレット、主題を中央に大きく1つだけ配置。文字・ロゴ・枠・キャプションは一切入れない。正方形構図。
incident_i19.png,「グローバル化」を表すイラスト。グローバル化。昭和初期〜1920年代の政治ポスター/レトロ木版画風のイラスト。力強くドラマチック、2〜3色の限定パレット、主題を中央に大きく1つだけ配置。文字・ロゴ・枠・キャプションは一切入れない。正方形構図。
incident_i20.png,「快楽主義の広まり」を表すイラスト。快楽主義の広まり。昭和初期〜1920年代の政治ポスター/レトロ木版画風のイラスト。力強くドラマチック、2〜3色の限定パレット、主題を中央に大きく1つだけ配置。文字・ロゴ・枠・キャプションは一切入れない。正方形構図。
